wavelength,flux,e_flux
4292.510102,1.7984296,1.7984296
4296.803454,1.8073393,1.8073393
4301.107528,1.8261722,1.8261722
4305.400611,1.8416187,1.8416187
4309.715944,1.8554621,1.8554621
4314.020019,1.8578529,1.8578529
4318.335084,1.8613480,1.8613480
4322.650416,1.8709745,1.8709745
4326.976472,1.8806995,1.8806995
4331.302528,1.8860910,1.8860910
4335.639574,1.8855276,1.8855276
4339.965898,1.8931226,1.8931226
4344.313935,1.8894616,1.8894616
4348.650981,1.8870696,1.8870696
4352.999019,1.8822589,1.8822589
4357.358046,1.8796622,1.8796622
4361.717074,1.8706532,1.8706532
4366.076102,1.8602613,1.8602613
4370.446389,1.8436179,1.8436179
4374.816407,1.8375463,1.8375463
4379.186426,1.8258832,1.8258832
4383.567435,1.8288578,1.8288578
4387.948444,1.8372297,1.8372297
4392.340444,1.8405731,1.8405731
4396.732444,1.8391674,1.8391674
4401.124444,1.8523347,1.8523347
4405.527435,1.8662516,1.8662516
4409.930426,1.8776439,1.8776439
4414.344407,1.8910730,1.8910730
4418.758389,1.8889911,1.8889911
4423.183093,1.8986810,1.8986810
4427.597074,1.9032918,1.9032918
4432.033037,1.9046125,1.9046125
4436.469,1.8951221,1.8951221
4440.904963,1.8868316,1.8868316
4445.340926,1.8797795,1.8797795
4449.787611,1.8604829,1.8604829
4454.234565,1.8578779,1.8578779
4458.692509,1.8528858,1.8528858
4463.150454,1.8384773,1.8384773
4467.608398,1.8375446,1.8375446
4472.077065,1.8323264,1.8323264
4476.556991,1.8226038,1.8226038
4481.025926,1.8231387,1.8231387
4485.516574,1.8207070,1.8207070
4489.9965,1.8138218,1.8138218
4494.487417,1.8061068,1.8061068
4498.978333,1.7941754,1.7941754
4503.479704,1.7899443,1.7899443
4507.981611,1.7911197,1.7911197
4512.494777,1.7847683,1.7847683
4517.007407,1.7868049,1.7868049
4521.520037,1.7816992,1.7816992
4526.043926,1.7816856,1.7816856
4530.567814,1.7771487,1.7771487
4535.102426,1.7845720,1.7845720
4539.637037,1.7922244,1.7922244
4544.171648,1.7929459,1.7929459
4548.717519,1.8022742,1.8022742
4553.274111,1.8065025,1.8065025
4557.819981,1.8049122,1.8049122
4562.387833,1.8029574,1.8029574
4566.944426,1.8005552,1.8005552
4571.512277,1.7980620,1.7980620
4576.079593,1.7876939,1.7876939
4580.658167,1.7777153,1.7777153
4585.237277,1.7660712,1.7660712
4589.826574,1.7562937,1.7562937
4594.416407,1.7350415,1.7350415
4599.016963,1.7169881,1.7169881
4603.606796,1.7085352,1.7085352
4608.218074,1.6905297,1.6905297
4612.81863,1.6729604,1.6729604
4617.430444,1.6567361,1.6567361
4622.052981,1.6537427,1.6537427
4626.675519,1.6452581,1.6452581
4631.298056,1.6379658,1.6379658
4635.931852,1.6367174,1.6367174
4640.565111,1.6270639,1.6270639
4645.20963,1.6228573,1.6228573
4649.854148,1.6222664,1.6222664
4654.509926,1.6110766,1.6110766
4659.165167,1.6108609,1.6108609
4663.820944,1.6125106,1.6125106
4668.487444,1.6103241,1.6103241
4673.153944,1.6089582,1.6089582
4677.831167,1.5998793,1.5998793
4682.508926,1.5994885,1.5994885
4687.186148,1.5953197,1.5953197
4691.87463,1.5981818,1.5981818
4696.563111,1.6067927,1.6067927
4701.262851,1.6115125,1.6115125
4705.962056,1.6136346,1.6136346
4710.672519,1.6245089,1.6245089
4715.382981,1.6295025,1.6295025
4720.093444,1.6317612,1.6317612
4724.81463,1.6386813,1.6386813
4729.547074,1.6426544,1.6426544
4734.268796,1.6393681,1.6393681
4739.011963,1.6292254,1.6292254
4743.744407,1.6180069,1.6180069
4748.487574,1.6225677,1.6225677
4753.242,1.6227169,1.6227169
4757.996426,1.6175387,1.6175387
4762.750851,1.6181983,1.6181983
4767.516,1.6259301,1.6259301
4772.281149,1.6304694,1.6304694
4777.057556,1.6278237,1.6278237
4781.833963,1.6473799,1.6473799
4786.61037,1.6654629,1.6654629
4791.3975,1.6826715,1.6826715
4796.195889,1.6910330,1.6910330
4800.983019,1.7147049,1.7147049
4805.79213,1.7228566,1.7228566
4810.590519,1.7362258,1.7362258
4815.39963,1.7531891,1.7531891
4820.22,1.7606323,1.7606323
4825.04037,1.7564873,1.7564873
4829.871463,1.7677894,1.7677894
4834.691833,1.7702900,1.7702900
4839.533648,1.7777205,1.7777205
4844.376,1.7743539,1.7743539
4849.218351,1.7886980,1.7886980
4854.060167,1.8014601,1.8014601
4858.9245,1.8192353,1.8192353
4863.777574,1.8287520,1.8287520
4868.641907,1.8419540,1.8419540
4873.516963,1.8526627,1.8526627
4878.381296,1.8629258,1.8629258
4883.267074,1.8645746,1.8645746
4888.14213,1.8642031,1.8642031
4893.039167,1.8704675,1.8704675
4897.925481,1.8596575,1.8596575
4902.833777,1.8560534,1.8560534
4907.730814,1.8499031,1.8499031
4912.638574,1.8393154,1.8393154
4917.557593,1.8285428,1.8285428
4922.465889,1.8222276,1.8222276
4927.39563,1.8080726,1.8080726
4932.314648,1.8032812,1.8032812
4937.255648,1.7940736,1.7940736
4942.185926,1.7917364,1.7917364
4947.126926,1.7907815,1.7907815
4952.078648,1.7963535,1.7963535
4957.030907,1.8026899,1.8026899
4961.993889,1.8089386,1.8089386
4966.945611,1.8119482,1.8119482
4971.919851,1.8138192,1.8138192
4976.893556,1.8155721,1.8155721
4981.867796,1.8180053,1.8180053
4986.852223,1.8191407,1.8191407
4991.837186,1.8134866,1.8134866
4996.833407,1.8027868,1.8027868
5001.829093,1.7944463,1.7944463
5006.825314,1.7765043,1.7765043
5011.831723,1.7578522,1.7578522
5016.849926,1.7430840,1.7430840
5021.867593,1.7231359,1.7231359
5026.885796,1.7009088,1.7009088
5031.914186,1.6786906,1.6786906
5036.943111,1.6600151,1.6600151
5041.983296,1.6488739,1.6488739
5047.022944,1.6437784,1.6437784
5052.073852,1.6366320,1.6366320
5057.124223,1.6255566,1.6255566
5062.186389,1.6254981,1.6254981
5067.248019,1.6254494,1.6254494
5072.309648,1.6264310,1.6264310
5077.382537,1.6341037,1.6341037
5082.466148,1.6372967,1.6372967
5087.550296,1.6321523,1.6321523
5092.633907,1.6259629,1.6259629
5097.728777,1.6237987,1.6237987
5102.823111,1.6113956,1.6113956
5107.928704,1.6001040,1.6001040
5113.034833,1.5871031,1.5871031
5118.151149,1.5675875,1.5675875
5123.268,1.5470794,1.5470794
5128.395574,1.5332398,1.5332398
5133.512426,1.5250006,1.5250006
5138.650723,1.5192641,1.5192641
5143.789556,1.5148917,1.5148917
5148.939111,1.5083754,1.5083754
5154.088667,1.5014791,1.5014791
5159.238223,1.4988406,1.4988406
5164.399037,1.4921659,1.4921659
5169.559852,1.4904248,1.4904248
5174.731389,1.4928242,1.4928242
5179.902926,1.4905219,1.4905219
5185.085186,1.4869434,1.4869434
5190.278704,1.4829347,1.4829347
5195.4615,1.4795545,1.4795545
5200.655019,1.4753854,1.4753854
5205.859796,1.4746000,1.4746000
5211.064037,1.4713531,1.4713531
5216.279537,1.4739499,1.4739499
5221.495037,1.4757141,1.4757141
5226.721796,1.4788578,1.4788578
5231.937296,1.4812509,1.4812509
5237.174777,1.4817168,1.4817168
5242.411723,1.4807765,1.4807765
5247.660463,1.4774923,1.4774923
5252.908667,1.4765967,1.4765967
5258.157407,1.4682781,1.4682781
5263.41687,1.4572734,1.4572734
5268.676333,1.4492385,1.4492385
5273.946519,1.4364886,1.4364886
5279.216704,1.4263268,1.4263268
5284.498148,1.4131339,1.4131339
5289.790851,1.4040723,1.4040723
5295.083019,1.3967298,1.3967298
5300.375186,1.3920203,1.3920203
5305.667889,1.3937463,1.3937463
5310.982037,1.3919336,1.3919336
5316.285463,1.3960578,1.3960578
5321.599611,1.3932385,1.3932385
5326.925019,1.3930361,1.3930361
5332.250426,1.4016587,1.4016587
5337.586556,1.4072573,1.4072573
5342.922686,1.4156607,1.4156607
5348.270074,1.4172972,1.4172972
5353.617463,1.4320645,1.4320645
5358.964851,1.4307952,1.4307952
5364.333686,1.4321885,1.4321885
5369.692333,1.4320909,1.4320909
5375.061167,1.4320121,1.4320121
5380.441796,1.4245936,1.4245936
5385.821889,1.4258010,1.4258010
5391.201981,1.4253454,1.4253454
5396.604056,1.4187737,1.4187737
5401.995407,1.4182485,1.4182485
5407.397481,1.4151978,1.4151978
5412.810814,1.4146208,1.4146208
5418.212889,1.4182366,1.4182366
5423.636944,1.4208976,1.4208976
5429.061,1.4244487,1.4244487
5434.485056,1.4359058,1.4359058
5439.92037,1.4391873,1.4391873
5445.366407,1.4436653,1.4436653
5450.812444,1.4433566,1.4433566
5456.258481,1.4547219,1.4547219
5461.715777,1.4497541,1.4497541
5467.183796,1.4512565,1.4512565
5472.651814,1.4522301,1.4522301
5478.119833,1.4602108,1.4602108
5483.598574,1.4584668,1.4584668
5489.077852,1.4680209,1.4680209
5494.567851,1.4647930,1.4647930
5500.068574,1.4654982,1.4654982
5505.569833,1.4776978,1.4776978
5511.070556,1.4801615,1.4801615
5516.582537,1.4826809,1.4826809
5522.094519,1.4913136,1.4913136
5527.617223,1.4944921,1.4944921
5533.151186,1.4915704,1.4915704
5538.685148,1.4902272,1.4902272
5544.23037,1.4947215,1.4947215
5549.764333,1.4933914,1.4933914
5555.320277,1.4975098,1.4975098
5560.875686,1.4980047,1.4980047
5566.43163,1.4934686,1.4934686
5571.998833,1.5054908,1.5054908
5577.576223,1.5159324,1.5159324
5583.154148,1.5296462,1.5296462
5588.732074,1.5348433,1.5348433
5594.320723,1.5427694,1.5427694
5599.92063,1.5507019,1.5507019
5605.520537,1.5642418,1.5642418
5611.120444,1.5894146,1.5894146
5616.731074,1.5808253,1.5808253
5622.352963,1.5733691,1.5733691
5627.974852,1.5970573,1.5970573
5633.607463,1.5656691,1.5656691
5639.240074,1.5602462,1.5602462
5644.872686,1.5580487,1.5580487
5650.527814,1.5531580,1.5531580
5656.171148,1.5503342,1.5503342
5661.826277,1.5499979,1.5499979
5667.491593,1.5310792,1.5310792
5673.157444,1.5276386,1.5276386
5678.834019,1.5062476,1.5062476
5684.510593,1.5030073,1.5030073
5690.198426,1.5096112,1.5096112
5695.885723,1.5128806,1.5128806
5701.584814,1.5150058,1.5150058
5707.28337,1.5248672,1.5248672
5712.992648,1.5385011,1.5385011
5718.702463,1.5431663,1.5431663
5724.423,1.5507597,1.5507597
