wavelength,flux
5216,3.98e-17
5219,4.364e-17
5221,4.047e-17
5223,3.884e-17
5226,3.848e-17
5228,4.626e-17
5231,4.335e-17
5233,4.567e-17
5236,4.603e-17
5238,4.25e-17
5240,4.643e-17
5243,4.673e-17
5245,3.743e-17
5248,4.549e-17
5250,3.752e-17
5253,5.169e-17
5255,4.73e-17
5257,4.004e-17
5260,5.13e-17
5262,5.008e-17
5265,4.432e-17
5267,4.317e-17
5270,4.301e-17
5272,4.285e-17
5274,4.268e-17
5277,4.252e-17
5279,4.236e-17
5282,4.22e-17
5284,2.943e-17
5287,4.525e-17
5289,4.266e-17
5291,4.679e-17
5294,3.912e-17
5296,4.551e-17
5299,3.782e-17
5301,3.174e-17
5304,4.282e-17
5306,4.208e-17
5308,3.882e-17
5311,4.339e-17
5313,3.98e-17
5316,3.603e-17
5318,4.495e-17
5321,4.419e-17
5323,4.31e-17
5325,3.895e-17
5328,4.203e-17
5330,4.065e-17
5333,3.946e-17
5335,4.352e-17
5338,3.686e-17
5340,3.625e-17
5342,3.742e-17
5345,3.414e-17
5347,3.643e-17
5350,3.773e-17
5352,3.43e-17
5355,3.828e-17
5357,2.882e-17
5359,3.199e-17
5362,3.952e-17
5364,3.28e-17
5367,4.052e-17
5369,3.221e-17
5372,4.105e-17
5374,3.368e-17
5376,3.751e-17
5379,3.32e-17
5381,3.238e-17
5384,3.663e-17
5386,3.619e-17
5389,3.539e-17
5391,3.316e-17
5394,4.261e-17
5396,3.038e-17
5398,3.588e-17
5401,2.631e-17
5403,3.14e-17
5406,3.718e-17
5408,3.322e-17
5411,3.41e-17
5413,3.433e-17
5415,3.265e-17
5418,2.712e-17
5420,3.24e-17
5423,3.598e-17
5425,3.561e-17
5428,2.594e-17
5430,3.07e-17
5432,3.024e-17
5435,3.861e-17
5437,2.593e-17
5440,2.305e-17
5442,2.915e-17
5445,2.911e-17
5447,2.843e-17
5449,2.751e-17
5452,2.597e-17
5454,3.3e-17
5457,3.326e-17
5459,3.106e-17
5462,3.364e-17
5464,2.355e-17
5466,3.198e-17
5469,2.657e-17
5471,3.294e-17
5474,3.599e-17
5476,3.085e-17
5479,2.408e-17
5481,2.81e-17
5483,3.067e-17
5486,3.036e-17
5488,2.849e-17
5491,2.975e-17
5493,2.29e-17
5496,3.171e-17
5498,2.496e-17
5500,2.63e-17
5503,2.726e-17
5505,2.749e-17
5508,3.436e-17
5510,2.873e-17
5513,2.936e-17
5515,3.318e-17
5517,2.474e-17
5520,2.557e-17
5522,2.434e-17
5525,2.834e-17
5527,2.148e-17
5530,2.978e-17
5532,2.879e-17
5534,2.868e-17
5537,2.525e-17
5539,3.293e-17
