Mej,Mstar,Z_str,Age(yr),Z
6.526695,43.0,z030,4261683.0,0.03
7.481755,29.0,z030,6342528.0,0.03
7.172205,89.0,z030,2770164.0,0.03
6.49674,42.0,z030,4325973.0,0.03
6.628295,45.0,z030,4640780.0,0.03
7.29441,87.0,z030,2812443.0,0.03
8.532865000000001,73.0,z030,3229322.0,0.03
8.414325000000002,74.0,z030,3211836.0,0.03
7.783155000000001,80.0,z030,3124196.0,0.03
6.1792750000000005,125.0,z030,2231484.0,0.03
6.727029999999999,100.0,z030,3422642.0,0.03
7.833690000000001,56.0,z030,3651858.0,0.03
7.636195000000001,69.0,z030,3755071.0,0.03
7.209875,51.0,z030,3839300.0,0.03
6.99409,93.0,z030,2693307.0,0.03
7.5332799999999995,67.0,z030,3797605.0,0.03
8.09683,58.0,z030,3581107.0,0.03
8.382249999999999,60.0,z030,3522783.0,0.03
6.943405,94.0,z030,2672702.0,0.03
7.246395,34.0,z030,5159226.0,0.03
7.42359,33.0,z030,5318403.0,0.03
6.904255,95.0,z030,3457635.0,0.03
8.52186,61.0,z030,3496173.0,0.03
7.55911,66.0,z030,3371336.0,0.03
7.043895,92.0,z030,2712353.0,0.03
8.236245,59.0,z030,3552312.0,0.03
7.085545,50.0,z030,3882276.0,0.03
7.96472,57.0,z030,3611678.0,0.03
7.563705000000001,68.0,z030,3326812.0,0.03
5.50387,225.0,z030,3204232.0,0.03
7.60394,32.0,z030,5500952.0,0.03
7.087949999999999,35.0,z030,5421128.0,0.03
